application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,status_id
M106Y52,1801,GG,OBC,3,t,t,2
M104R20,1207,PH,SC,2,t,t,2
M106Z40,1501,CY,SC,1,f,t,2
M103K96,1504,MS,GEN,2,t,t,2
M110X52,1303,PH,OBC,5,t,t,2
M108D41,1903,PH,SC,12,t,t,2
M110U23,1501,CY,SC,1,t,t,2
M106R33,1301,CY,GEN,4,t,t,2
M107S40,1207,PH,GEN,2,f,f,2
M108Q93,1702,MA,OBC,2,t,t,3
M106X67,2001,CY,OBC,7,t,t,2
M103J33,1701,CY,GEN,5,t,f,2
M105X40,1601,CY,SC,1,f,t,2
M111B69,1403,PH,GEN,4,t,t,2
M104U15,1901,CY,GEN,5,t,t,2
M103G23,1701,CY,GEN,4,t,t,2
M111H72,1601,CY,GEN,1,f,t,2
M105J86,1203,MS,GEN,1,f,t,2
M105Q48,1803,CY,GEN,4,t,t,2
M110Q44,2103,PH,SC,3,t,t,2
M102Y85,2202,PH,OBC,6,t,t,2
M101D72,1905,MS,OBC,2,t,t,2
M103M58,1401,CY,GEN,4,t,t,2
